,Customer_ID,Recency,Frequency,Monetary,Average_Order_Value,Cluster,Segment
29,AB-15993,18,7,2777.67,154.315,2,VIP Customers
30,AB-16020,18,3,851.01,47.278333333333336,3,Potential Customers
31,AB-16242,20,7,3579.86,178.993,2,VIP Customers
32,AB-16271,17,5,1404.64,82.62588235294118,0,Loyal Customers
33,AB-16595,92,1,360.16,3.9147826086956523,1,At-Risk Customers
34,AB-16610,250,1,75.66,0.30263999999999996,1,At-Risk Customers
35,AB-16654,143,4,601.27,4.204685314685315,0,Loyal Customers
36,AB-16947,237,1,406.48,1.7151054852320675,1,At-Risk Customers
37,AB-17637,117,2,547.06,4.6757264957264955,1,At-Risk Customers
38,AB-17686,33,7,5739.46,173.92303030303032,2,VIP Customers
39,AB-18102,13,60,259657.3,19973.63846153846,2,VIP Customers
40,AC-12453,136,1,707.09,5.199191176470588,1,At-Risk Customers
41,AC-12457,83,7,2363.23,28.47265060240964,0,Loyal Customers
42,AC-12545,77,2,1000.39,12.992077922077922,0,Loyal Customers
43,AC-12559,312,2,561.71,1.8003525641025642,1,At-Risk Customers
44,AC-12579,80,1,440.42,5.50525,1,At-Risk Customers
45,AC-12798,12,3,6977.04,581.42,2,VIP Customers
46,AC-12930,80,2,415.8,5.1975,1,At-Risk Customers
47,AC-13040,183,2,676.99,3.6993989071038254,1,At-Risk Customers
48,AC-13914,13,2,626.45,48.18846153846154,3,Potential Customers
49,AC-14352,38,4,1078.96,28.393684210526317,0,Loyal Customers
50,AC-14419,12,6,1051.79,87.64916666666666,0,Loyal Customers
51,AC-15201,89,5,1236.54,13.893707865168539,0,Loyal Customers
52,AC-15212,7,1,101.8,14.542857142857143,3,Potential Customers
53,AC-15549,79,3,1681.46,21.284303797468354,0,Loyal Customers
54,AC-16200,166,2,1068.87,6.438975903614457,1,At-Risk Customers
55,AC-16639,122,3,1257.51,10.307459016393443,0,Loyal Customers
56,AC-17037,89,1,1267.32,14.239550561797753,1,At-Risk Customers
57,AC-17977,61,1,288.14,4.723606557377049,1,At-Risk Customers
58,AD-12539,24,4,5568.35,232.01458333333335,0,Loyal Customers
59,AD-12607,62,1,1579.51,25.475967741935484,0,Loyal Customers
60,AD-12623,130,1,305.1,2.346923076923077,1,At-Risk Customers
61,AD-12626,25,9,6620.48,264.81919999999997,2,VIP Customers
62,AD-12933,26,3,607.53,23.36653846153846,3,Potential Customers
63,AD-13865,1,4,501.56,501.56,3,Potential Customers
64,AD-14359,21,3,912.18,43.43714285714285,3,Potential Customers
65,AD-15574,179,4,675.64,3.7745251396648043,0,Loyal Customers
66,AD-16696,67,4,657.9,9.819402985074626,0,Loyal Customers
67,AD-16743,6,7,2213.13,368.855,2,VIP Customers
68,AD-17667,6,5,2055.5099999999998,342.585,2,VIP Customers
69,AE-13370,639,1,754.87,1.1813302034428794,1,At-Risk Customers
70,AE-15145,45,4,1194.73,26.549555555555557,0,Loyal Customers
71,AE-15394,11,4,2183.54,198.50363636363636,0,Loyal Customers
72,AE-16566,17,5,614.66,36.156470588235294,3,Potential Customers
73,AE-17044,27,1,948.48,35.12888888888889,3,Potential Customers
74,AF-13323,23,5,787.85,34.254347826086956,0,Loyal Customers
75,AF-15104,198,2,993.54,5.017878787878788,1,At-Risk Customers
76,AF-15955,26,14,4416.26,169.85615384615386,2,VIP Customers
77,AF-16494,298,1,826.53,2.7735906040268454,1,At-Risk Customers
78,AF-16709,86,5,3029.87,35.23104651162791,0,Loyal Customers
79,AF-16784,21,1,107.6,5.123809523809523,3,Potential Customers
80,AF-17718,234,1,139.35,0.5955128205128205,1,At-Risk Customers
81,AF-18093,33,4,2106.52,63.833939393939396,0,Loyal Customers
82,AG-12587,302,1,144.0,0.4768211920529801,1,At-Risk Customers
83,AG-12721,81,6,2656.13,32.79172839506173,0,Loyal Customers
84,AG-12923,184,1,172.82,0.9392391304347826,1,At-Risk Customers
85,AG-12987,75,2,558.7,7.449333333333334,1,At-Risk Customers
86,AG-13008,325,1,229.47,0.7060615384615384,1,At-Risk Customers
87,AG-13629,25,11,7792.36,311.6944,2,VIP Customers
88,AG-13681,19,4,827.83,43.57,3,Potential Customers
89,AG-14030,20,8,2358.84,117.94200000000001,2,VIP Customers
90,AG-14626,25,4,2791.27,111.6508,0,Loyal Customers
91,AG-14687,108,1,628.38,5.818333333333333,1,At-Risk Customers
92,AG-14730,109,8,1897.57,17.408899082568805,0,Loyal Customers
93,AG-14733,18,12,9585.91,532.5505555555555,2,VIP Customers
94,AG-15074,107,1,735.67,6.8754205607476635,1,At-Risk Customers
95,AG-15160,359,1,158.16,0.44055710306406687,1,At-Risk Customers
96,AG-15230,241,2,429.6,1.782572614107884,1,At-Risk Customers
97,AG-15376,42,3,1221.56,29.084761904761905,0,Loyal Customers
98,AG-15411,28,4,1348.93,48.17607142857143,0,Loyal Customers
99,AG-15514,14,11,4023.7200000000003,287.40857142857146,2,VIP Customers
100,AG-16464,21,3,1298.66,61.84095238095239,0,Loyal Customers
101,AG-17230,266,8,3638.41,13.678233082706766,0,Loyal Customers
102,AG-17361,51,3,488.2,9.572549019607843,3,Potential Customers
103,AG-17870,16,12,1865.8899999999999,116.61812499999999,2,VIP Customers
104,AH-12497,83,1,1043.1,12.567469879518072,1,At-Risk Customers
105,AH-12583,1,15,7281.38,7281.38,2,VIP Customers
106,AH-12653,150,2,2209.85,14.732333333333333,0,Loyal Customers
107,AH-12747,24,11,4196.01,174.83375,2,VIP Customers
108,AH-12913,17,5,2483.63,146.09588235294117,0,Loyal Customers
109,AH-12971,10,86,11189.91,1118.991,2,VIP Customers
110,AH-13304,353,1,300.42,0.8510481586402266,1,At-Risk Customers
111,AH-13487,59,3,575.4,9.752542372881356,0,Loyal Customers
112,AH-13593,110,5,2011.88,18.289818181818184,0,Loyal Customers
113,AH-13745,164,1,300.04,1.8295121951219513,1,At-Risk Customers
114,AH-13809,162,1,155.05,0.9570987654320988,1,At-Risk Customers
115,AH-13904,296,2,332.64,1.1237837837837836,1,At-Risk Customers
116,AH-14107,53,7,2703.23,51.00433962264151,0,Loyal Customers
117,AH-14222,179,1,683.17,3.8165921787709496,1,At-Risk Customers
118,AH-14529,62,3,578.61,9.33241935483871,0,Loyal Customers
119,AH-14719,12,5,1581.84,131.82,0,Loyal Customers
120,AH-14793,23,1,228.99,9.95608695652174,3,Potential Customers
121,AH-14867,158,3,710.28,4.495443037974684,0,Loyal Customers
122,AH-15198,124,2,193.64,1.5616129032258064,1,At-Risk Customers
123,AH-15524,26,1,440.0,16.923076923076923,3,Potential Customers
124,AH-15881,314,5,501.39,1.5967834394904459,1,At-Risk Customers
125,AH-16260,52,1,1035.45,19.9125,3,Potential Customers
126,AH-16261,18,4,728.54,40.474444444444444,3,Potential Customers
127,AH-16438,28,5,798.35,28.5125,0,Loyal Customers
128,AH-16518,92,2,484.32,5.264347826086956,1,At-Risk Customers
129,AH-16570,17,10,3738.4,219.90588235294118,2,VIP Customers
130,AH-16638,24,10,1680.72,70.03,2,VIP Customers
131,AH-16722,19,13,4730.81,248.99,2,VIP Customers
132,AH-16835,278,2,180.85,0.6505395683453237,1,At-Risk Customers
133,AH-17462,62,2,675.69,10.898225806451613,3,Potential Customers
134,AH-17691,359,2,290.4,0.8089136490250696,1,At-Risk Customers
135,AH-17725,18,11,3439.08,191.06,2,VIP Customers
136,AH-17850,667,34,5391.21,8.082773613193403,2,VIP Customers
137,AH-17897,174,3,541.8100000000001,3.113850574712644,1,At-Risk Customers
138,AH-18181,26,1,366.85,14.109615384615385,3,Potential Customers
139,AJ-12667,1,1,620.13,620.13,3,Potential Customers
140,AJ-12920,19,1,162.78,8.567368421052631,3,Potential Customers
141,AJ-13461,140,3,1445.0,10.321428571428571,0,Loyal Customers
142,AJ-13466,127,1,307.9,2.4244094488188974,1,At-Risk Customers
143,AJ-13467,12,2,1071.91,89.32583333333334,3,Potential Customers
144,AJ-15243,76,1,316.68,4.166842105263158,1,At-Risk Customers
145,AJ-15551,275,1,436.06,1.5856727272727273,1,At-Risk Customers
146,AJ-16142,251,1,535.34,2.132828685258964,1,At-Risk Customers
147,AJ-16249,54,5,1800.07,33.33462962962963,0,Loyal Customers
148,AJ-16353,10,23,6675.71,667.571,2,VIP Customers
149,AJ-16400,185,1,303.93,1.642864864864865,1,At-Risk Customers
150,AJ-16427,265,2,241.06,0.9096603773584906,1,At-Risk Customers
151,AJ-16980,257,2,1028.46,4.001789883268483,1,At-Risk Customers
152,AJ-17428,7,28,17256.85,2465.2642857142855,2,VIP Customers
153,AJ-17582,238,1,175.27,0.7364285714285714,1,At-Risk Customers
154,AJ-17788,75,2,1117.9,14.905333333333335,0,Loyal Customers
155,AJ-17799,24,10,3039.17,126.63208333333334,2,VIP Customers
156,AJ-17990,238,3,630.84,2.650588235294118,1,At-Risk Customers
157,AJ-18072,158,1,247.44,1.5660759493670886,1,At-Risk Customers
158,AK-13548,68,2,678.16,9.972941176470588,3,Potential Customers
159,AK-13630,77,7,2031.78,26.386753246753248,0,Loyal Customers
160,AK-13662,36,3,881.26,24.479444444444443,0,Loyal Customers
161,AK-14500,2,3,356.85,178.425,3,Potential Customers
162,AK-15724,203,2,218.25,1.0751231527093597,1,At-Risk Customers
163,AK-15922,698,1,369.5,0.5293696275071633,1,At-Risk Customers
164,AK-16511,23,3,918.33,39.92739130434783,3,Potential Customers
165,AK-16734,54,3,646.76,11.977037037037038,0,Loyal Customers
166,AK-16754,666,1,2002.4,3.006606606606607,1,At-Risk Customers
167,AK-16764,11,13,2790.95,253.72272727272727,2,VIP Customers
168,AK-17286,23,1,151.37,6.581304347826087,3,Potential Customers
169,AK-17520,55,1,546.81,9.941999999999998,3,Potential Customers
170,AK-17696,110,8,2285.71,20.77918181818182,0,Loyal Customers
171,AK-18033,214,1,93.82000000000001,0.43841121495327107,1,At-Risk Customers
172,AL-12603,23,1,739.2,32.13913043478261,3,Potential Customers
173,AL-12703,72,1,283.55,3.9381944444444446,1,At-Risk Customers
174,AL-12921,11,37,16587.09,1507.9172727272728,2,VIP Customers
175,AL-12981,61,2,372.21999999999997,6.1019672131147535,3,Potential Customers
176,AL-13364,72,1,134.96,1.8744444444444446,1,At-Risk Customers
177,AL-13876,154,1,122.7,0.7967532467532468,1,At-Risk Customers
178,AL-13946,81,3,561.57,6.932962962962963,0,Loyal Customers
179,AL-14840,269,1,62.85,0.23364312267657994,1,At-Risk Customers
180,AL-14907,30,7,3501.1,116.70333333333333,2,VIP Customers
181,AL-15090,253,1,381.32,1.507193675889328,1,At-Risk Customers
182,AL-15163,20,2,304.46999999999997,15.223499999999998,3,Potential Customers
183,AL-15361,363,1,418.92,1.1540495867768596,1,At-Risk Customers
184,AL-15523,86,1,412.01,4.790813953488372,1,At-Risk Customers
185,AL-15640,18,15,12416.11,689.7838888888889,2,VIP Customers
186,AL-15683,119,1,193.75,1.6281512605042017,1,At-Risk Customers
187,AL-15949,18,2,364.71999999999997,20.26222222222222,3,Potential Customers
188,AL-16801,38,4,1594.23,41.953421052631576,0,Loyal Customers
189,AL-17423,48,2,698.41,14.550208333333332,3,Potential Customers
190,AL-17746,242,1,110.25,0.4555785123966942,1,At-Risk Customers
191,AM-12458,73,2,947.4,12.978082191780821,0,Loyal Customers
192,AM-12673,243,2,610.52,2.5124279835390944,1,At-Risk Customers
193,AM-12820,46,4,942.34,20.485652173913046,0,Loyal Customers
194,AM-12929,343,1,117.85,0.34358600583090376,1,At-Risk Customers
195,AM-12953,11,1,329.85,29.986363636363638,3,Potential Customers
196,AM-12982,37,1,390.54,10.555135135135135,3,Potential Customers
197,AM-13116,140,1,501.14,3.5795714285714286,1,At-Risk Customers
198,AM-13267,10,19,4521.49,452.149,2,VIP Customers
199,AM-13270,486,1,590.0,1.213991769547325,1,At-Risk Customers
200,AM-13379,28,3,572.56,20.448571428571427,3,Potential Customers
201,AM-13471,23,4,2501.84,108.77565217391304,0,Loyal Customers
202,AM-13513,217,1,205.1,0.9451612903225807,1,At-Risk Customers
203,AM-13552,88,12,3740.07,42.500795454545454,0,Loyal Customers
204,AM-13672,39,2,186.39,4.779230769230769,3,Potential Customers
205,AM-14607,17,14,16209.5,953.5,2,VIP Customers
206,AM-14714,26,1,160.19,6.161153846153846,3,Potential Customers
207,AM-14929,152,1,223.88,1.4728947368421053,1,At-Risk Customers
208,AM-15006,53,1,480.38,9.063773584905661,3,Potential Customers
209,AM-15195,152,1,3861.0,25.401315789473685,0,Loyal Customers
210,AM-15197,12,3,1079.61,89.96749999999999,3,Potential Customers
211,AM-15397,291,1,94.0,0.3230240549828179,1,At-Risk Customers
212,AM-15516,46,3,62.43,1.3571739130434783,3,Potential Customers
213,AM-15847,290,2,389.27,1.3423103448275862,1,At-Risk Customers
214,AM-16318,244,1,328.15,1.3448770491803277,1,At-Risk Customers
215,AM-16409,4,5,2022.98,505.745,2,VIP Customers
216,AM-16954,18,9,2085.08,115.83777777777777,2,VIP Customers
217,AM-17068,14,21,4552.14,325.15285714285716,2,VIP Customers
218,AM-17105,192,2,665.78,3.4676041666666664,1,At-Risk Customers
219,AM-17114,101,8,801.12,7.931881188118812,0,Loyal Customers
220,AM-17455,205,1,131.7,0.6424390243902438,1,At-Risk Customers
221,AM-17460,185,6,622.43,3.364486486486486,0,Loyal Customers
222,AM-17506,77,1,302.2,3.9246753246753245,1,At-Risk Customers
223,AM-17663,27,7,1802.91,66.77444444444444,0,Loyal Customers
224,AM-17913,1,2,408.65,408.65,3,Potential Customers
225,AM-17999,303,2,380.39,1.2554125412541253,1,At-Risk Customers
226,AM-18159,39,1,530.15,13.593589743589742,3,Potential Customers
227,AM-18223,41,14,6484.54,158.15951219512195,2,VIP Customers
228,AN-14530,27,6,2862.11,106.00407407407408,0,Loyal Customers
229,AN-14651,6,2,653.75,108.95833333333333,3,Potential Customers
230,AN-15571,13,4,650.4300000000001,50.033076923076926,3,Potential Customers
231,AN-15755,2,6,2364.25,1182.125,2,VIP Customers
232,AN-16243,56,2,409.1,7.305357142857143,3,Potential Customers
233,AN-16978,79,1,344.33,4.358607594936709,1,At-Risk Customers
234,AN-17795,181,2,342.83,1.8940883977900551,1,At-Risk Customers
235,AO-13411,109,1,213.55,1.9591743119266056,1,At-Risk Customers
236,AO-14161,128,3,1097.62,8.57515625,0,Loyal Customers
237,AO-14551,20,2,186.23,9.311499999999999,3,Potential Customers
238,AO-16385,62,3,554.86,8.949354838709677,0,Loyal Customers
239,AO-17832,51,1,155.37,3.046470588235294,1,At-Risk Customers
240,AP-13324,32,10,7121.95,222.5609375,2,VIP Customers
241,AP-13339,202,1,860.12,4.258019801980198,1,At-Risk Customers
242,AP-13388,133,2,677.1,5.090977443609023,1,At-Risk Customers
243,AP-13615,320,1,417.69,1.30528125,1,At-Risk Customers
244,AP-13632,26,5,2118.93,81.49730769230769,0,Loyal Customers
245,AP-14027,62,1,104.82,1.6906451612903224,1,At-Risk Customers
246,AP-15475,79,1,454.11,5.748227848101266,1,At-Risk Customers
247,AP-15606,3,9,2920.16,973.3866666666667,2,VIP Customers
248,AP-15609,127,1,298.48,2.350236220472441,1,At-Risk Customers
249,AP-15877,19,2,490.33,25.806842105263158,3,Potential Customers
250,AP-15885,124,3,379.35,3.0592741935483874,1,At-Risk Customers
251,AP-16042,23,5,1177.47,51.19434782608696,0,Loyal Customers
252,AP-16253,245,2,3683.86,15.036163265306122,0,Loyal Customers
253,AP-16268,72,2,667.65,9.272916666666667,0,Loyal Customers
254,AP-16432,184,1,287.40000000000003,1.5619565217391307,1,At-Risk Customers
255,AP-17255,42,2,291.48,6.94,3,Potential Customers
256,AP-17789,283,1,225.9,0.7982332155477032,1,At-Risk Customers
257,AR-12401,100,1,84.3,0.843,1,At-Risk Customers
258,AR-12759,54,3,1531.44,28.36,0,Loyal Customers
259,AR-12939,38,8,11581.8,304.78421052631575,2,VIP Customers
260,AR-13719,17,5,1041.68,61.275294117647064,0,Loyal Customers
261,AR-13804,80,7,2588.39,32.354875,0,Loyal Customers
262,AR-13895,30,4,2593.07,86.43566666666668,0,Loyal Customers
263,AR-14024,64,2,327.7,5.1203125,1,At-Risk Customers
264,AR-14307,2,6,2995.72,1497.86,2,VIP Customers
265,AR-14567,58,2,1530.36,26.385517241379308,0,Loyal Customers
266,AR-14978,74,5,1921.3700000000001,25.964459459459462,0,Loyal Customers
267,AR-15443,14,7,3213.59,229.54214285714286,2,VIP Customers
268,AR-15467,11,3,524.88,47.71636363636364,3,Potential Customers
269,AR-15522,89,2,397.99,4.471797752808989,1,At-Risk Customers
270,AR-15649,163,2,816.0,5.006134969325154,1,At-Risk Customers
271,AR-15707,45,4,916.98,20.377333333333333,0,Loyal Customers
272,AR-16030,284,1,331.24,1.166338028169014,1,At-Risk Customers
273,AR-16298,24,3,598.2,24.925,3,Potential Customers
274,AR-16668,16,6,306.72,19.17,3,Potential Customers
275,AR-16892,17,5,518.19,30.481764705882355,3,Potential Customers
276,AR-17102,263,1,25.5,0.09695817490494296,1,At-Risk Customers
277,AR-17400,211,5,2097.84,9.942369668246446,0,Loyal Customers
278,AR-17566,27,2,869.77,32.2137037037037,3,Potential Customers
279,AR-17658,6,2,595.42,99.23666666666666,3,Potential Customers
280,AR-17787,65,4,1817.54,27.962153846153846,0,Loyal Customers
281,AR-18220,228,1,305.28,1.3389473684210524,1,At-Risk Customers
282,AR-18239,220,5,1561.61,7.098227272727272,0,Loyal Customers
283,AS-12708,61,10,2712.91,44.473934426229505,0,Loyal Customers
284,AS-12994,33,3,974.42,29.527878787878787,0,Loyal Customers
285,AS-13258,13,3,672.83,51.75615384615385,3,Potential Customers
286,AS-13317,200,6,2273.68,11.3684,0,Loyal Customers
287,AS-13549,4,7,918.2,229.55,2,VIP Customers
288,AS-14171,305,1,363.79,1.1927540983606557,1,At-Risk Customers
289,AS-14381,54,1,202.68,3.7533333333333334,1,At-Risk Customers
290,AS-14408,12,7,2599.03,216.58583333333334,2,VIP Customers
291,AS-14479,255,2,316.25,1.2401960784313726,1,At-Risk Customers
292,AS-14631,52,3,1006.98,19.365000000000002,0,Loyal Customers
293,AS-14688,4,21,5579.1,1394.775,2,VIP Customers
294,AS-15562,353,1,134.55,0.3811614730878187,1,At-Risk Customers
295,AS-15579,304,2,327.6,1.0776315789473685,1,At-Risk Customers
296,AS-15648,206,2,639.5,3.104368932038835,1,At-Risk Customers
297,AS-15739,245,1,449.12,1.8331428571428572,1,At-Risk Customers
298,AS-15843,100,1,118.95,1.1895,1,At-Risk Customers
299,AS-16173,17,6,1418.32,83.43058823529411,0,Loyal Customers
300,AS-16311,19,2,616.26,32.43473684210526,3,Potential Customers
301,AS-16872,79,3,680.02,8.607848101265823,0,Loyal Customers
302,AS-17090,2,7,1974.65,987.325,2,VIP Customers
303,AS-17212,254,1,226.85,0.8931102362204724,1,At-Risk Customers
304,AS-17731,81,4,1240.11,15.309999999999999,0,Loyal Customers
305,AS-17873,82,5,1848.96,22.548292682926828,0,Loyal Customers
306,AS-17997,65,8,1962.46,30.191692307692307,0,Loyal Customers
307,AS-18068,291,1,101.7,0.34948453608247426,1,At-Risk Customers
308,AS-18122,4,6,1793.06,448.265,2,VIP Customers
309,AS-18193,167,1,243.76,1.4596407185628741,1,At-Risk Customers
310,AT-12516,5,2,1312.06,262.412,3,Potential Customers
311,AT-14201,62,7,747.4399999999999,12.055483870967741,0,Loyal Customers
312,AT-14427,52,2,363.34000000000003,6.987307692307693,3,Potential Customers
313,AT-14570,252,2,218.06,0.8653174603174604,1,At-Risk Customers
314,AT-14641,23,1,110.46000000000001,4.802608695652174,3,Potential Customers
315,AT-15017,183,1,125.58,0.6862295081967213,1,At-Risk Customers
316,AT-15194,79,15,7616.53,96.41177215189873,2,VIP Customers
317,AT-15345,47,1,393.54,8.373191489361703,3,Potential Customers
318,AT-15722,110,5,2211.21,20.101909090909093,0,Loyal Customers
319,AT-16159,283,1,348.2,1.2303886925795053,1,At-Risk Customers
320,AT-16226,205,3,255.12,1.2444878048780488,1,At-Risk Customers
321,AT-16556,107,7,3313.79,30.97,0,Loyal Customers
322,AT-17134,108,2,413.2,3.825925925925926,1,At-Risk Customers
323,AT-17377,25,20,4058.32,162.33280000000002,2,VIP Customers
324,AT-17871,206,1,155.9,0.7567961165048543,1,At-Risk Customers
325,AT-18170,114,3,980.31,8.599210526315789,0,Loyal Customers
326,AV-12432,44,5,5059.32,114.98454545454545,0,Loyal Customers
327,AV-13302,156,1,63.75,0.40865384615384615,1,At-Risk Customers
328,AV-14156,1,55,117210.08,117210.08,2,VIP Customers
329,AV-14185,10,1,197.65,19.765,3,Potential Customers
330,AV-14395,61,9,3479.91,57.047704918032785,0,Loyal Customers
331,AV-14633,268,1,344.9,1.2869402985074625,1,At-Risk Customers
332,AV-17654,161,1,117.55,0.7301242236024844,1,At-Risk Customers
333,AW-12504,20,2,482.05,24.1025,3,Potential Customers
334,AW-12684,26,7,2283.63,87.83192307692308,0,Loyal Customers
335,AW-13049,184,2,656.6800000000001,3.568913043478261,1,At-Risk Customers
336,AW-13083,77,2,303.75,3.9448051948051948,1,At-Risk Customers
337,AW-13153,243,1,486.22,2.000905349794239,1,At-Risk Customers
338,AW-13307,33,1,15.0,0.45454545454545453,1,At-Risk Customers
339,AW-13328,318,1,1308.48,4.114716981132076,1,At-Risk Customers
340,AW-13571,14,12,2088.94,149.21,2,VIP Customers
341,AW-13634,37,5,1547.36,41.820540540540534,0,Loyal Customers
342,AW-13692,26,3,1488.32,57.24307692307692,0,Loyal Customers
343,AW-13835,27,4,834.57,30.91,0,Loyal Customers
344,AW-13860,16,5,1245.9,77.86875,0,Loyal Customers
345,AW-13978,16,2,196.79,12.299375,3,Potential Customers
346,AW-14258,11,9,12669.98,1151.8163636363636,2,VIP Customers
347,AW-14327,165,1,311.65,1.8887878787878787,1,At-Risk Customers
348,AW-14375,158,1,235.56,1.4908860759493672,1,At-Risk Customers
349,AW-14542,158,1,103.25,0.6534810126582279,1,At-Risk Customers
350,AW-14546,42,5,2573.93,61.28404761904761,0,Loyal Customers
351,AW-14755,11,11,5010.28,455.47999999999996,2,VIP Customers
352,AW-14766,67,6,2473.37,36.91597014925373,0,Loyal Customers
353,AW-14819,184,2,272.07,1.4786413043478261,1,At-Risk Customers
354,AW-14975,59,1,279.94,4.744745762711864,1,At-Risk Customers
355,AW-15235,160,12,2247.51,14.046937500000002,0,Loyal Customers
356,AW-15567,20,1,186.01,9.3005,3,Potential Customers
357,AW-15787,28,3,933.26,33.330714285714286,0,Loyal Customers
358,AW-16086,31,5,1121.39,36.17387096774194,0,Loyal Customers
359,AW-16207,27,1,394.38,14.606666666666667,3,Potential Customers
360,AW-16357,67,3,658.88,9.83402985074627,0,Loyal Customers
361,AW-16573,86,2,663.61,7.716395348837209,1,At-Risk Customers
362,AW-16912,30,11,2555.58,85.18599999999999,2,VIP Customers
363,AW-16916,25,2,562.41,22.496399999999998,3,Potential Customers
364,AW-17122,3,1,138.32,46.10666666666666,3,Potential Customers
365,AW-17438,255,1,388.45,1.5233333333333332,1,At-Risk Customers
366,AW-17647,215,1,133.06,0.6188837209302326,1,At-Risk Customers
367,AW-18154,45,2,399.19,8.870888888888889,3,Potential Customers
368,AW-18167,25,3,1384.86,55.3944,0,Loyal Customers
369,AW-18265,74,2,801.51,10.831216216216216,0,Loyal Customers
370,AY-12785,425,1,311.95,0.734,1,At-Risk Customers
371,AY-15681,27,5,1426.16,52.820740740740746,0,Loyal Customers
372,AZ-12562,24,7,3781.7400000000002,157.57250000000002,2,VIP Customers
373,AZ-15342,306,1,406.09,1.3270915032679738,1,At-Risk Customers
374,AZ-17110,167,1,163.29999999999998,0.9778443113772454,1,At-Risk Customers
375,BA-14621,91,5,1788.36,19.65230769230769,0,Loyal Customers
376,BA-15540,13,1,213.3,16.407692307692308,3,Potential Customers
377,BA-16236,80,1,432.2,5.4025,1,At-Risk Customers
378,BA-16337,275,1,151.05,0.5492727272727274,1,At-Risk Customers
379,BB-12851,246,1,131.81,0.5358130081300813,1,At-Risk Customers
380,BB-13359,154,1,439.56,2.854285714285714,1,At-Risk Customers
381,BB-14089,58,1,158.75,2.7370689655172415,1,At-Risk Customers
382,BB-15289,61,3,939.78,15.40622950819672,0,Loyal Customers
383,BB-15597,244,1,324.57,1.3302049180327868,1,At-Risk Customers
384,BB-15940,343,1,35.8,0.10437317784256558,1,At-Risk Customers
385,BB-16140,215,2,725.18,3.372930232558139,1,At-Risk Customers
386,BB-16213,80,1,159.0,1.9875,1,At-Risk Customers
387,BB-17144,86,2,984.57,11.448488372093024,0,Loyal Customers
388,BB-17556,207,1,157.9,0.7628019323671498,1,At-Risk Customers
389,BB-17640,88,1,621.66,7.064318181818181,1,At-Risk Customers
390,BB-17677,30,30,16345.38,544.846,2,VIP Customers
391,BB-17769,14,10,3957.43,282.6735714285714,2,VIP Customers
392,BB-18024,65,2,389.78,5.996615384615384,1,At-Risk Customers
393,BC-13014,12,10,3466.28,288.8566666666667,2,VIP Customers
394,BC-13061,74,1,248.60999999999999,3.3595945945945944,1,At-Risk Customers
395,BC-13208,1,6,1217.65,1217.65,2,VIP Customers
396,BC-13325,83,1,675.3,8.136144578313253,1,At-Risk Customers
397,BC-13456,19,6,1766.72,92.98526315789474,0,Loyal Customers
398,BC-13579,16,2,467.04,29.19,3,Potential Customers
399,BC-14712,61,3,917.0699999999999,15.033934426229507,0,Loyal Customers
400,BC-14852,1,6,2836.69,2836.69,2,VIP Customers
401,BC-15543,290,1,127.86,0.44089655172413794,1,At-Risk Customers
402,BC-16545,166,1,339.3,2.043975903614458,1,At-Risk Customers
403,BC-17630,171,2,503.6,2.945029239766082,1,At-Risk Customers
404,BC-17633,33,4,1324.84,40.14666666666666,0,Loyal Customers
405,BD-13690,31,1,172.25,5.556451612903226,3,Potential Customers
